2019-10-14 12:01:57,ついに全体公開か,tokyo677
2019-10-14 12:14:39,soudayo (そうだよ),alphaRomeo323
2019-10-14 19:49:25,バックアップ時間長いな,alphaRomeo323
2019-10-14 19:51:14,bakkuappushitennnoka (バックアップしてんのか),NoiR_126N
2019-10-14 19:51:20,chokuchokuochirukedo (ちょくちょく落ちるけど),NoiR_126N
2019-10-14 19:51:44,それは再起かけてたから,alphaRomeo323
2019-10-14 19:52:11,hee (へえ),NoiR_126N
2019-10-14 19:53:14,TTtukurutoshitaradonoshuruinisuru? (TT作るとしたらどの種類にする？),NoiR_126N
2019-10-14 19:53:30,tennkuukasupona-kanmitaina (天空化スポナー感みたいな),NoiR_126N
2019-10-14 19:54:12,とりあえずブレイズスポナートラップは建設しようと思ってるけどそれ以外は全く考えてない,alphaRomeo323
2019-10-14 19:54:22,haaku (把握),NoiR_126N
2019-10-14 20:06:32,うまくいってる,alphaRomeo323
2019-10-14 20:07:23,とりあえずメインワールド・ネザー・高島市ワールドはGドライブに保存するようにした,alphaRomeo323
2019-10-14 20:11:07,tamanikuri-pa-gawaiterunokowai (たまにクリーパーが湧いてるの怖い),NoiR_126N
2019-10-14 20:22:33,どうやらFrameProtectに額縁が増加するバグがあるみたい,alphaRomeo323
2019-10-14 20:30:01,shuuzennnoennchabonntteturikachesutonihaitterukadayone? (修繕のエンチャ本って釣果チェストに入ってるかだよね？),NoiR_126N
2019-10-14 21:01:27,そろそろ自分の家立て直すわ,alphaRomeo323
2019-10-14 21:02:07,PermissionEXじゃないからだれが何の権限持ってるのかわからないのがつらい,alphaRomeo323
2019-10-14 21:07:58,omaejitakuattanoka (お前自宅あったのか),NoiR_126N
